post_title,weight,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Creality Falcon Pro 10W",15,Creality,simple,,"Cortadoras Láser|Cortadoras Láser > Diodo","Creality Falcon2 22W",,,
"Creality CR-Scan Ferret Pro",6,Creality,simple,,"Escáneres 3D|Escáneres 3D > Luz Estructurada","Creality CR-Scan Ferret",,,
"Sovol SV07 Plus",24,Sovol,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Sovol SV07",24,Sovol,simple,,"Características|Características > Cartesiana|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Sovol SV04",10.01,Sovol,simple,outofstock,"Características|Características > Cartesiana|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento","Creality Ender 3 V3 SE",,,
"Secador de Filamento Sovol",4.5,Sovol,simple,,"Upgrades|Upgrades > Accesorios",,,,
"Voron LDO Kit Trident 250 RevC",40.5,"Voron LDO",simple,,"Características|Características > Core XY|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Voron LDO Kit 2.4 300 RevC",40.5,"Voron LDO",simple,,"Características|Características > Core XY|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Voron LDO Kit 2.4 350 RevC",40.5,"Voron LDO",simple,,"Características|Características > Core XY|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Voron LDO V0.2-S1",24,"Voron LDO",simple,,"Características|Características > Core XY|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Bambu Lab X1E",40.5,"Bambu Lab",simple,,"Características|Características > Core XY|Características > Cerrada|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento|Impresoras 3D > Ensamblada","Bambu Lab",,,
"Pantalla LCD Elegoo Mars 4",3,Elegoo,simple,,"Repuestos|Repuestos > Pantallas",,,,
"Tanque de resina Elegoo Mars 4",1.5,Elegoo,simple,,"Repuestos|Repuestos > Tanques",,,,
"Pantalla LCD Elegoo Mars 4 Ultra",3,Elegoo,simple,,"Repuestos|Repuestos > Pantallas",,,,
"Tanque de resina Elegoo Mars 4 Ultra",1.5,Elegoo,simple,,"Repuestos|Repuestos > Tanques",,,,
"Film ACF Elegoo 160 x 225 mm",0.5,Elegoo,simple,,"Repuestos|Repuestos > Film FEP",,,,
"Pantalla LCD Elegoo Saturn 3 Ultra",3,Elegoo,simple,,"Repuestos|Repuestos > Pantallas",,,,
"Prusa Original MMU3 Kit",4,"Prusa Research",simple,,"Upgrades|Upgrades > Accesorios","Prusa Original MK4 Kit",,,
"Prusa Original Enclosure Kit",24,"Prusa Research",simple,,"Upgrades|Upgrades > Accesorios","Prusa Original MK4 Kit",,,
"Sovol SV06",25,Sovol,simple,,"Características|Características > Cartesiana|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
